district_code,district_name_nfhs4,district_name_nfhs5,status,district_code_nfhs5
125,banswara,banswara,stable,125
126,chittaurgarh,chittaurgarh,stable,126
127,kota,kota,stable,127
128,baran,baran,stable,128
129,jhalawar,jhalawar,stable,129
130,udaipur,udaipur,stable,130
131,pratapgarh,pratapgarh,stable,131
132,saharanpur,saharanpur,stable,132
134,bijnor,bijnor,stable,134
136,rampur,rampur,stable,136
137,jyotiba phule nagar,jyotiba phule nagar,stable,137
138,meerut,meerut,stable,138
139,baghpat,baghpat,stable,139
141,gautam buddha nagar,gautam buddha nagar,stable,141
142,bulandshahr,bulandshahr,stable,142
143,aligarh,aligarh,stable,143
144,mahamaya nagar,mahamaya nagar,stable,144
145,mathura,mathura,stable,145
146,agra,agra,stable,146
147,firozabad,firozabad,stable,147
148,mainpuri,mainpuri,stable,148
150,bareilly,bareilly,stable,150
151,pilibhit,pilibhit,stable,151
152,shahjahanpur,shahjahanpur,stable,152
153,kheri,kheri,stable,153
154,sitapur,sitapur,stable,154
155,hardoi,hardoi,stable,155
156,unnao,unnao,stable,156
157,lucknow,lucknow,stable,157
159,farrukhabad,farrukhabad,stable,159
160,kannauj,kannauj,stable,160
161,etawah,etawah,stable,161
162,auraiya,auraiya,stable,162
163,kanpur dehat,kanpur dehat,stable,163
164,kanpur nagar,kanpur nagar,stable,164
165,jalaun,jalaun,stable,165
166,jhansi,jhansi,stable,166
167,lalitpur,lalitpur,stable,167
168,hamirpur,hamirpur,stable,168
169,mahoba,mahoba,stable,169
170,banda,banda,stable,170
171,chitrakoot,chitrakoot,stable,171
172,fatehpur,fatehpur,stable,172
173,pratapgarh,pratapgarh,stable,173
174,kaushambi,kaushambi,stable,174
175,allahabad,allahabad,stable,175
176,bara banki,bara banki,stable,176
177,faizabad,faizabad,stable,177
178,ambedkar nagar,ambedkar nagar,stable,178
180,bahraich,bahraich,stable,180
181,shrawasti,shrawasti,stable,181
182,balrampur,balrampur,stable,182
183,gonda,gonda,stable,183
184,siddharth nagar,siddharthnagar,stable,184
185,basti,basti,stable,185
186,sant kabir nagar,sant kabir nagar,stable,186
187,mahrajganj,mahrajganj,stable,187
188,gorakhpur,gorakhpur,stable,188
189,kushinagar,kushinagar,stable,189
190,deoria,deoria,stable,190
191,azamgarh,azamgarh,stable,191
192,mau,mau,stable,192
193,ballia,ballia,stable,193
194,jaunpur,jaunpur,stable,194
195,ghazipur,ghazipur,stable,195
196,chandauli,chandauli,stable,196
197,varanasi,varanasi,stable,197
198,sant ravidas nagar (bhadohi),sant ravidas nagar (bhadohi),stable,198
199,mirzapur,mirzapur,stable,199
200,sonbhadra,sonbhadra,stable,200
201,etah,etah,stable,201
202,kanshiram nagar,kanshiram nagar,stable,202
203,pashchim champaran,pashchim champaran,stable,203
