round,hv024,state,shdist,nfhs_district_name,matched_census_district,census_distid,census_source_year,match_score,match_source,reason
NFHS-2,22,tamil nadu,1,Chennai,Chengalpattu-mgr,2.0,1991,69.23076923076923,fuzzy,low fuzzy match score
NFHS-2,23,west bengal,8,NORTH TWENTY FOUR PARGANAS,North 24 Paraganas,8.0,1991,85.5,fuzzy,low fuzzy match score
NFHS-2,23,west bengal,9,SOUTH TWENTY FOUR PARGANAS,South 24 Paraganas,9.0,1991,85.5,fuzzy,low fuzzy match score
NFHS-2,34,arunachal pradesh,3,EAST KAMENG,Arunachal Pradesh,0.0,1991,34.285714285714285,fuzzy,low fuzzy match score
NFHS-2,34,arunachal pradesh,1,TAWANG,Arunachal Pradesh,0.0,1991,36.0,fuzzy,low fuzzy match score
NFHS-2,34,arunachal pradesh,4,LOWER SUBANSIRI,Arunachal Pradesh,0.0,1991,25.0,fuzzy,low fuzzy match score
NFHS-2,34,arunachal pradesh,2,WEST KAMENG,Arunachal Pradesh,0.0,1991,32.57142857142857,fuzzy,low fuzzy match score
NFHS-2,34,arunachal pradesh,7,EAST SIANG,Arunachal Pradesh,0.0,1991,27.692307692307693,fuzzy,low fuzzy match score
NFHS-2,34,arunachal pradesh,5,UPPER SUBANSIRI,Arunachal Pradesh,0.0,1991,31.25,fuzzy,low fuzzy match score
NFHS-2,34,arunachal pradesh,8,DIBANG VALLEY,Arunachal Pradesh,0.0,1991,33.333333333333336,fuzzy,low fuzzy match score
NFHS-2,34,arunachal pradesh,6,WEST SIANG,Arunachal Pradesh,0.0,1991,34.2,fuzzy,low fuzzy match score
NFHS-2,34,arunachal pradesh,11,TIRAP,Arunachal Pradesh,0.0,1991,36.0,fuzzy,low fuzzy match score
NFHS-2,34,arunachal pradesh,10,CHANGLANG,Arunachal Pradesh,0.0,1991,50.0,fuzzy,low fuzzy match score
NFHS-2,34,arunachal pradesh,9,Lohit,Arunachal Pradesh,0.0,1991,30.000000000000004,fuzzy,low fuzzy match score
