round,hv024,state,shdist,nfhs_district_name,matched_census_district,census_distid,census_source_year,match_score,match_source,district_uid
NFHS-1,3,assam,17,Dibrugarh,Dibrugarh,17,1991,100.0,fuzzy,assam_17
NFHS-1,4,bihar,17,Begusarai,Begusarai,17,1991,100.0,fuzzy,bihar_17
NFHS-1,4,bihar,17,Begusarai,Begusarai,17,1991,100.0,fuzzy,bihar_17
NFHS-1,4,bihar,20,Madhubani,Madhubani,20,1991,100.0,fuzzy,bihar_20
NFHS-1,4,bihar,20,Madhubani,Madhubani,20,1991,100.0,fuzzy,bihar_20
NFHS-1,4,bihar,22,Madhepura,Madhepura,22,1991,100.0,fuzzy,bihar_22
NFHS-1,4,bihar,22,Madhepura,Madhepura,22,1991,100.0,fuzzy,bihar_22
NFHS-1,4,bihar,3,Bhojpur,Bhojpur,3,1991,100.0,fuzzy,bihar_3
NFHS-1,4,bihar,3,Bhojpur,Bhojpur,3,1991,100.0,fuzzy,bihar_3
NFHS-1,4,bihar,4,Rohtas,Rohtas,4,1991,100.0,fuzzy,bihar_4
NFHS-1,4,bihar,4,Rohtas,Rohtas,4,1991,100.0,fuzzy,bihar_4
NFHS-1,4,bihar,1,Patna,Patna,1,1991,100.0,fuzzy,bihar_1
NFHS-1,4,bihar,1,Patna,Patna,1,1991,100.0,fuzzy,bihar_1
NFHS-1,4,bihar,2,Nalanda,Nalanda,2,1991,100.0,fuzzy,bihar_2
NFHS-1,4,bihar,2,Nalanda,Nalanda,2,1991,100.0,fuzzy,bihar_2
NFHS-1,4,bihar,6,Jehanabad,Jehanabad,6,1991,100.0,fuzzy,bihar_6
NFHS-1,4,bihar,6,Jehanabad,Jehanabad,6,1991,100.0,fuzzy,bihar_6
NFHS-1,4,bihar,7,Gaya,Gaya,7,1991,100.0,fuzzy,bihar_7
NFHS-1,4,bihar,7,Gaya,Gaya,7,1991,100.0,fuzzy,bihar_7
NFHS-1,4,bihar,8,Nawada,Nawada,8,1991,100.0,fuzzy,bihar_8
NFHS-1,4,bihar,8,Nawada,Nawada,8,1991,100.0,fuzzy,bihar_8
NFHS-1,4,bihar,9,Saran,Saran,9,1991,100.0,fuzzy,bihar_9
NFHS-1,4,bihar,9,Saran,Saran,9,1991,100.0,fuzzy,bihar_9
NFHS-1,4,bihar,10,Siwan,Siwan,10,1991,100.0,fuzzy,bihar_10
NFHS-1,4,bihar,10,Siwan,Siwan,10,1991,100.0,fuzzy,bihar_10
NFHS-1,4,bihar,11,Gopalganj,Gopalganj,11,1991,100.0,fuzzy,bihar_11
NFHS-1,4,bihar,11,Gopalganj,Gopalganj,11,1991,100.0,fuzzy,bihar_11
NFHS-1,4,bihar,13,Purba Champaran,Purba Champaran,13,1991,100.0,fuzzy,bihar_13
NFHS-1,4,bihar,13,Purba Champaran,Purba Champaran,13,1991,100.0,fuzzy,bihar_13
NFHS-1,4,bihar,14,Sitamarhi,Sitamarhi,14,1991,100.0,fuzzy,bihar_14
NFHS-1,4,bihar,14,Sitamarhi,Sitamarhi,14,1991,100.0,fuzzy,bihar_14
NFHS-1,4,bihar,15,Muzaffarpur,Muzaffarpur,15,1991,100.0,fuzzy,bihar_15
NFHS-1,4,bihar,15,Muzaffarpur,Muzaffarpur,15,1991,100.0,fuzzy,bihar_15
NFHS-1,4,bihar,16,Vaishali,Vaishali,16,1991,100.0,fuzzy,bihar_16
NFHS-1,4,bihar,16,Vaishali,Vaishali,16,1991,100.0,fuzzy,bihar_16
NFHS-1,4,bihar,18,Samastipur,Samastipur,18,1991,100.0,fuzzy,bihar_18
NFHS-1,4,bihar,18,Samastipur,Samastipur,18,1991,100.0,fuzzy,bihar_18
NFHS-1,4,bihar,19,Darbhanga,Darbhanga,19,1991,100.0,fuzzy,bihar_19
NFHS-1,4,bihar,19,Darbhanga,Darbhanga,19,1991,100.0,fuzzy,bihar_19
NFHS-1,4,bihar,21,Saharsa,Saharsa,21,1991,100.0,fuzzy,bihar_21
NFHS-1,4,bihar,21,Saharsa,Saharsa,21,1991,100.0,fuzzy,bihar_21
NFHS-1,4,bihar,23,Purnia,Purnia,23,1991,100.0,fuzzy,bihar_23
NFHS-1,4,bihar,23,Purnia,Purnia,23,1991,100.0,fuzzy,bihar_23
NFHS-1,4,bihar,24,Katihar,Katihar,24,1991,100.0,fuzzy,bihar_24
NFHS-1,4,bihar,24,Katihar,Katihar,24,1991,100.0,fuzzy,bihar_24
